Judul Lagu,Lirik
Happy Asmara – Cidro 2,durung anti garg tatu atiku tegotegon sliramu nambahi loro batku aku percoyo kabeh nyoto cetho arep moto sliramu cidro panaspanas srengeng uliti awak seh panas rasang ati nyawang dade lungo awakku kudu lungo timbang batku loroloro ra bakal awakku bali nemoni sliramu lilo awakku lilo naj loro neng njero dodo pancen uwis nasibku kudu pisah awakmu durung anti garg tatu atiku tegotegon sliramu nambahi loro batku aku percoyo kabeh nyoto cetho arep moto sliramu cidro panaspanas srengeng uliti awak seh panas rasang ati nyawang dade lungo awakku kudu lungo timbang batku loroloro ra bakal awakku bali nemoni sliramu lilo awakku lilo naj loro neng njero dodo pancen uwis nasibku kudu pisah awakmu lungo awakku kudu lungo timbang batku loroloro ra bakal awakku bali nemoni sliramu lilo awakku lilo naj loro neng njero dodo pancen uwis nasibku kudu pisah awakmu pancen uwis nasibku kudu pisah awakmu
Brodin & Vivi Rosalita – Tak Tunggu Balimu,nangiso sedino ping pitu putusanmu aku bakal gandholi lungamu nggalk aku aku lilo sliramu lungo naj dodho empet loro aku ra kuwoso mengg sliramu jaluk jujur atimu sliramu tansah gantil ono mripat dodho budhalo tunggu balimu maafkanlah wahai yangku terpaksa menggalkanmu aku membenci rimu dan melepask ctamu kau tahu riku ku tahu rimu sudah ndiri ku harap rimu mengerti riku mungk terus begi anggap saja mua itu bagai mimpi tidurmu lupakanlah masa lalu dari mua nanganmu yang lalu biarlah berlalu tego sliramu misahk roso tresnaku panggodhan tres aku kudu bar nerimo rahk saja pada yang di atas sana maafkanlah wahai yangku terpaksa menggalkanmu aku membenci rimu dan melepask ctamu kau tahu riku ku tahu rimu sudah ndiri ku harap rimu mengerti riku mungk terus begi anggap saja mua itu bagai mimpi tidurmu lupakanlah masa lalu dari mua nanganmu yang lalu biarlah berlalu tego sliramu misahk roso tresnaku panggodhan tres aku kudu bar nerimo rahk saja pada yang di atas sana nangiso sedino ping pitu putusanmu aku bakal gandholi lungamu nggalk aku aku lilo sliramu lungo naj dodho empet loro aku ra kuwoso mengg sliramu jaluk jujur atimu mugo sliramu ra cidro naj adoh kono sliramu tansah gantil ono mripat dodho budhalo tunggu balimu
Putri Kristya – Opo Iseh Ono,iseh ono wong purun nompo aku ra piro ra sugih bondo nduweku mung tyo wani rekoso bahagiak uwong tres urip neng donyo kabeh lahirk udo nasib manungso pancen bedo bedo aku upoyo yah rjo ra roso durung nemokn mulyo jo meneh nemokn tres iseh ono wong purun nompo aku ra piro ra sugih bondo nduweku mung tyo wani rekoso bahagiak uwong tres pomo seh ono wong purun nompo aku anan bakal perjuangk kuat tenogo kuat rogo naj toh nyowo wong tres dal uripku koyo idamanmu pengen karek tuku aku poso mggu aku gelo naj uripku rekoso kandeli dongo manut dawuh kuoso iseh ono wong purun nompo aku ra piro ra sugih bondo nduweku mung tyo wani rekoso bahagiak uwong tres pomo seh ono wong purun nompo aku anan bakal perjuangk kuat tenogo kuat rogo naj toh nyowo wong tres dal uripku koyo idamanmu koyo idamanmu
Woro Widowati – Madiun Ngawi,termal madiun awi nanganku bakal aku elalekk mbiyen aku nduw pacar anak pak tukir bakul pecel ono pggir prapat termal madiun awi gen dolanku bakal aku elalekk mbiyen jam semono kow janji aku nyatan kow gkari janjimu aku kangen kangen sliramu wangsawang fotomu dompetku aku kangen kangen sliramu eluselus fotomu dompetku kow ra kroso bat ben dino ra bakal ilang fotomu dompetku kow ra kroso bat ben dino ra bakal ilang jenengmu atiku termal madiun awi nanganku bakal aku elalekk mbiyen aku nduw pacar anak pak tukir bakul pecel ono pggir prapat termal madiun awi gen dolanku bakal aku elalekk mbiyen jam semono kow janji aku nyatan kow gkari janjimu aku kangen kangen sliramu wangsawang fotomu dompetku aku kangen kangen sliramu eluselus fotomu dompetku aku kangen kangen sliramu wangsawang fotomu dompetku aku kangen kangen sliramu eluselus fotomu dompetku kow ra kroso bat ben dino ra bakal ilang fotomu dompetku kow ra kroso bat ben dino ra bakal ilang fotomu dompetku
Difarina Indra – Joko Tingkir (feat. Fendik Adella),joko tgkir omb dawet jo pikir marai met joko tgkir omb dapur marai met sirah ajur marai met sirah ajur purwokerto tuku ketan cerito anak rantau lombok rawit pedes ten golek duwet masa dep golek duwet masa dep rokok klobot isor wit mljo palg abot nggal anak bojo tuku donat kalimant tetep mangat masa dep tetep mangat masa dep godong knikir godong koro ojo pikir aku arep liyo mang jamur mang koro aku jujur kow ra percoyo aku jujur kow ra percoyo joko tgkir omb dawet jo pikir marai met joko tgkir omb dapur marai met sirah ajur marai met sirah ajur purwokerto tuku ketan cerito anak rantau lombok rawit pedes ten golek duwet masa dep golek duwet masa dep rokok klobot isor wit mljo palg abot nggal anak bojo tuku donat kalimant tetep mangat masa dep tetep mangat masa dep godong knikir godong koro ojo pikir aku arep liyo mang jamur mang koro aku jujur kow ra percoyo aku jujur kow ra percoyo joko tgkir omb dawet jo pikir marai met joko tgkir omb dapur marai met sirah ajur marai met sirah ajur purwokerto tuku ketan cerito anak rantau lombok rawit pedes ten golek duwet masa dep golek duwet masa dep rokok klobot isor wit mljo palg abot nggal anak bojo tuku donat kalimant tetep mangat masa dep tetep mangat masa dep godong knikir godong koro ojo pikir aku arep liyo mang jamur mang koro aku jujur kow ra percoyo aku jujur kow ra percoyo
Safira Inema – Rasah Dadi Pelangi,rasah dadi pelangi nggo matan de’ cukup pis wgi hiasi atine tetepo prgas prgis naj met ndas bahagia kudu tentang cta wae susah mesti ono konco ndgmu curhato nangiso losk wae atimu tika mua masalahmu terasa abot lepas dan ikhlask jal terbaik hanya pedot ngel angel angel kandani pancen angel njak ngono kui nek wis kadung tres tetep eyel hatimu terbutak oleh cta palsunya rela rekasa yang pentg dia tetap bahagia rasah menctai menyayangi wong picek perjuanganmu ratau anggep dadi nyesek dia hanya bercanda harusnya kau tertawa bukannya jatuh cta akhirnya kau terluka rasah dadi pelangi nggo matan de’ cukup pis wgi hiasi atine tetepo prgas prgis naj met ndas bahagia kudu tentang cta wae susah mesti ono konco ndgmu curhato nangiso losk wae atimu tika mua masalahmu terasa abot lepas dan ikhlask jal terbaik hanya pedot suatu saat bakal dadi erti koncomu ra pernah apusi nek larani kjan trimo di gaw loro ranku losk wae otw golek liyo mbok uwis stop lehmu getuni kabeh teko tenang koncomu ra bakal neng endi endi janji bakal ancani tek mari anggep wae mung mimpi sok ra baleni rasah dadi pelangi nggo matan de’ cukup pis wgi hiasi atine tetepo prgas prgis naj met ndas bahagia kudu tentang cta wae susah mesti ono konco ndgmu curhato nangiso losk wae atimu tika mua masalahmu terasa abot lepas dan ikhlask jal terbaik hanya pedot rasah dadi pelangi nggo matan de’ cukup pis wgi hiasi atine tetepo prgas prgis naj met ndas bahagia kudu tentang cta wae susah mesti ono konco ndgmu curhato nangiso losk wae atimu tika mua masalahmu terasa abot lepas dan ikhlask jal terbaik hanya pedot
Mufly Key – Pingin Nangis Tapi Isin,ged tresnoku tulus sliramu tegon mbok sio sio anti atiku loro pepes awakku ambruk cagak atiku pengen nangis tapi isin mung iso empet njero bat rasakk jebul seje rapodo manis ucap kow neng ati lar tresnoku tibak’ mbok gaw dolan bangeten gonmu nyikso atiku kadung yang kow malah ilang ged tresnoku tulus sliramu tegon mbok sio sio anti atiku loro pepes awakku ambruk cagak atiku pgin nangis tapi isin mung iso empet njero bat bangeten gonmu nyikso atiku kadung yang kow malah ilang ged tresnoku tulus sliramu tegon mbok sio sio anti atiku loro pepes awakku ambruk cagak atiku pgin nangis tapi isin mung iso empet njero bat ged tresnoku tulus sliramu tegon mbok sio sio anti atiku loro pepes awakku ambruk cagak atiku pgin nangis tapi isin mung iso empet njero bat pgin nangis tapi isin mung iso empet njero bat
Dini Kurnia – Damar Opo Lilin,gowo nong endi gaw lendi suwi bebareng nono jelas hang dadi pikir dadi pitakon isun duwen riko terimo konco damar lil buyar kaw nyawang tekad riko kurang yak damar lil buyar kaw terus men baen kadung duw niat ati ojo mangmang mpung durung mggat welas ilang gowo nong endi gaw lendi suwi bebareng nono jelas hang dadi pikir dadi pitakon isun duwen riko terimo konco damar lil buyar kaw nyawang tekad riko kurang yak damar lil buyar kaw terus men baen damar lil buyar kaw nyawang tekad riko kurang yak damar lil buyar kaw terus men baen kadung duw niat ati ojo mangmang mpung durung mggat welas ilang kadung duw niat ati ojo mangmang mpung durung mggat welas ilang
Kalia Siska – Bestie (feat. SKA 86),kancan yo pikir to maseh remuk njobo njero ngene caran ono wong lanang liyan tego embat pacar konco dew piy to kih laran nembus neng ati perih rasakn anti iluh mbrebes mili aku seng gemati kiro besti ternyata kompeni jaren besti tego larani jaren best friend lalen nikung ko mburi wong seng palg tresnani trimo alah mugi gusti parg ganti kancan yo pikir to maseh remuk njobo njero ngene caran ono wong lanang liyan tego embat pacar konco dew piy to kih laran nembus neng ati perih rasakn anti iluh mbrebes mili aku seng gemati kiro besti ternyata kompeni jaren besti tego larani jaren best friend lalen nikung ko mburi wong seng palg tresnani trimo alah mugi gusti parg ganti jaren besti tego larani jaren best friend lalen nikung ko mburi wong seng palg tresnani trimo alah mugi gusti parg ganti trimo alah mugi gusti parg ganti
Yeni Inka – Teteg Ati,pungkas srengeng sor atiku iseh roso spek mpet mikerk sliramu tresnani pungkas rembul wengi atiku iseh milih berjuang bertah korb ati perasa sliramu koco dadi ksi pedih atiku kow gaw ati jogo dadi gelo bola bali kow lah aku salahk mas perlu ngerteni tetegk atiku wis koyo ibu tau ersulo adepi polahmu gaw atiku atiku tatu pungkas srengeng sor atiku iseh roso spek mpet mikerk sliramu tresnani koco dadi ksi pedih atiku kow gaw ati jogo dadi gelo bola bali kow lah aku salahk wis rapopo aku salah tapi elgo cen aku lilo dadi payung naliko udan teko mas perlu ngerteni tetegk atiku wis koyo ibu tau ersulo adepi polahmu gaw atiku atiku tatu naj kow mung nyepelekk ati tetep kuatk spah ati tiyoku mung kow lawas bebareng kow lawas bakal liyakk lawas tetep teteg atine
Syahiba Saufa – Janjine,janji riko arep larani janji riko nyeneng ati isun tetep siji nono mang mageh enget nong janj mulo lamb ono belung gok riko kari gampang gaw janji saikine luput ambi omongan kadung janji kudu tepati endi roso rongso riko bolak balik isun kari larani jo lah kadung sun wis eliyo mergo sun wis kuwat isun kuwat mosok ta loro ati nong arep moto nyandg wong liyo perih ati koyo koyo’o urip koyo sekso endi roso rongso riko bolak balik isun kari larani jo lah kadung sun wis eliyo mergo sun wis kuwat isun kuwat mosok ta loro ati nong arep moto nyandg wong liyo perih ati koyo koyo’o urip koyo sekso mosok ta loro ati nong arep moto nyandg wong liyo perih ati koyo koyo’o urip koyo sekso urip koyo sekso
Happy Asmara – Lemah Teles,kow mbelok iwo nengen tanpo awask mburi tabrak kow loro lah sopo kow ra tres omongo ojo terus lungo awas nemoni apes lemah teles gusti bakal bales jujur ati loro durung biso nompo nyata tandur sirami malih dadi awu ireng obong kahan mbiyen janji bareng bareng erasakk susah neng iki kow medotk angen angen kuatk ati kudu lang kow mbelok iwo nengen tanpo awask mburi tabrak kow loro lah sopo kow ra tres omongo ojo terus lungo awas nemoni apes lemah teles gusti bakal bales jujur ati loro durung biso nompo nyata tandur sirami malih dadi awu ireng obong kahan mbiyen janji bareng bareng erasakk susah neng iki kow medotk angen angen kuatk ati kudu lang kow mbelok iwo nengen tanpo awask mburi tabrak kow loro lah sopo kow ra tres omongo ojo terus lungo awas nemoni apes lemah teles gusti bakal bales kow mbelok iwo nengen tanpo awask mburi tabrak kow loro lah sopo kow ra tres omongo ojo terus lungo awas nemoni apes lemah teles gusti bakal bales lemah teles gusti bakal bales
Mala Agatha – Angel (feat. Joyce Ladies Truck),tika mua terasa begitu abot ku coba untuk tetap rapopo di saat cta ini terasa angel angel tres ra koyo stagram klik langsung oleh ati duh gusti nopo kulo prank ra kuat ati pas dek’ medot janji gantengmu edit tenan marai aku kapus pancen lahku dew rao ongkon abot nggan aku angel mov on tika mua terasa begitu abot ku coba untuk tetap rapopo di saat cta ini terasa angel angel ku katak dalam hati yo uwes menurutmu aku kudu piy apakah aku harus mengikutimu yo aku mengkis mengkis yo aku mengkis mengkis gantengmu edit tenan marai aku kapus pancen lahku dew rao ongkon abot nggan aku angel mov on tika mua terasa begitu abot ku coba untuk tetap rapopo di saat mua terasa angel angel ku katak dalam hati yo uwes menurutmu aku kudu piy apakah aku harus mengikutimu yo aku mengkis mengkis yo aku mengkis mengkis
Safira Inema – Ra Waras,mergo wis ra waras utekmu loro bat mbok tggal lungo arep malah lungo aku wis bayang pelam lungguh ambek sandg malah balik mantanmu mbiyen elarani kamu yo wis terimo lek caran ngono ojo nesu aku golek gantimu jan akeh arep aku ku seh tio padamu iki buka lawang atiku marang lanang liyan karepmu mencakmencak sliraku mbiyen nggali iki jaluk balik ra isin awakmu karepmu nesu meri bojoku mboten trimo aku urip mulyo mergo wis ra waras utekmu yo wis terimo lek caran ngono ojo nesu aku golek gantimu jan akeh arep aku ku seh tio padamu iki buka lawang atiku marang lanang liyan karepmu mencakmencak sliraku mbiyen nggali iki jaluk balik ra isin awakmu karepmu nesu meri bojoku mboten trimo aku urip mulyo mergo wis ra waras utekmu mergo wis ra waras utekmu
Safira Inema – Ego,pangapuranen aku tulus ojo pekso bendo mung golek salahanmu aku cen klera kleru nresnani sliramu aku alah aku aku lah bar nesun ojo bubar raemanem nibo tangi kabeh lakoni aku dar luwih milih bertah sori aku mung mikir egoku gatekk kabeh perjuanganmu yang akoni aku kleru aku erti cewa bertah deng cara dewasa kondo loroloro masalah dowo kudu iso tok pertimbangk ten ojo waton gaw putus kudu iso tok pertimbangk ten ojo waton gaw putus bar nesun ojo bubar raemanem nibo tangi kabeh lakoni aku dar luwih milih bertah sori aku mung mikir egoku gatekk kabeh perjuanganmu yang akoni aku kleru aku erti cewa bertah deng cara dewasa kondo loroloro masalah dowo sori aku mung mikir egoku gatekk kabeh perjuanganmu yang akoni aku kleru aku erti cewa bertah deng cara dewasa kondo loroloro masalah masalah dowo
Yeni Inka – Aku Seng Nduwe Ati,aku seng nduw ati rasah rusohi aku seng nduw rasa rasah suloyo aku seh tetep tres naj dunyo ra trimo uruso uripmu timbang suw suw lambemu tuku awan tansah kelingan wengi raiso map koyo ngene wong kasmar naj akeh konco konco seng durung biso nerimo kabeh rungok njero atine manungso bedo bedo iso mbok antem podo koyo seng mbok karep kow ra lakoni ra usah mutusi aku seng nduw ati rasah rusohi aku seng nduw rasa rasah suloyo aku seh tetep tres naj dunyo ra trimo uruso uripmu timbang suw suw lambemu tuku walau badai kan menghadang tek kap tetep yang mpai maut kan memisahk naj akeh seng do gudho tres ra bakal cul susah neng tek tuwo njero atine manungso bedo bedo iso mbok antem podo koyo seng mbok karep kow ra lakoni ra usah mutusi aku seng nduw ati rasah rusohi aku seng nduw rasa rasah suloyo aku seh tetep tres naj dunyo ra trimo uruso uripmu timbang suw suw aku seng nduw ati rasah rusohi aku seng nduw rasa rasah suloyo aku seh tetep tres naj dunyo ra trimo uruso uripmu timbang suw suw suw suw lambemu tuku
Safira Inema – Lintang Sewengi,ono lah neng uripku kulo nyuwun pangapuramu aku sih pengen lanjut naj wis bacut akoni aku luput udan udan gedi kltir eluhku gowo mili ojo mbok go bali lahku wgi uwis getuni bubar baleni remok redam ati koyo ngene wong lang rasan karu mergo lah dal ltang wengi cukup wengi rabakal nduweni mung eridu ati tres mung dep moto kow teko amung dadi godo gebyar netramu mung pandeleng semu luluhk atiku nggal tatu jeru aku kow cukup cukup wengi wae bubar baleni remok redam ati koyo ngene wong lang rasan karu mergo lah dal ltang wengi cukup wengi rabakal nduweni mung eridu ati tres mung dep moto kow teko amung dadi godo gebyar netramu mung pandeleng semu luluhk atiku nggal tatu jeru aku kow cukup cukup wengi wae aku kow cukup cukup wengi wae
Sasya Arkhisna – Sayangmu Wes Sudo,bgung rasan atiku mergo sikapmu suw suw anggep aku mundur ra kuat aku kudu terus mlaku iso iso aku mati kaku yangmu iki sudo mergo ono liyo tresnomu iki ambang ten aku mbok anggep ilang mbiyen katon iki mbok sio sio janjimu semono iso percoyo pancen kudu ikhlas goleko tres liyo timbang suw suw atiku rontoronto yangmu iki sudo mergo ono liyo tresnomu iki ambang ten aku mbok anggep ilang mbiyen katon iki mbok sio sio janjimu semono iso percoyo pancen kudu ikhlas goleko tres liyo timbang suw suw atiku rontoronto mbiyen katon iki mbok sio sio janjimu semono iso percoyo pancen kudu ikhlas goleko tres liyo timbang suw suw atiku rontoronto atiku rontoronto
Alan Kasaji – Semeru,nduk mantep atimu cekelo janjiku tulung percoyo aku wis pendhem tresnaku awakmu njeron atiku mung siji panyuwunku ojo gampang nesu ojo gampang cemburu aku ra bakal mlayu seko uripmu naj akeh goda ndhgku duh pepujanku ati gonanmu wutuh jiwa ragaku anti suk mben lawas tresnaku mung kow pastikk ra bakal ono liyan gedhen roso tresnaku ra bakal ono tandg bebas gunung meru isih kalah gedh mung siji panyuwunku ojo gampang nesu ojo gampang cemburu aku ra bakal mlayu seko uripmu naj akeh goda ndhgku duh pepujanku ati gonanmu wutuh jiwa ragaku anti suk mben lawas tresnaku mung kow pastikk ra bakal ono liyan gedhen roso tresnaku ra bakal ono tandg bebas gunung meru isih kalah gedh anti suk mben lawas tresnaku mung kow pastikk ra bakal ono liyan gedhen roso tresnaku ra bakal ono tandg bebas gunung meru isih kalah gedh bebas gunung meru isih kalah gedh anti suk mben aku tres
Teman Topick – ometer,nemlikur kilometer jarak seng kudu uber ngojo gas’ banter banter sliramu seng dadi pepujang ati dol neng pesisir golek howo silir gapuro kampus isi nat dadi ksi naliko sliramu ucap lathi tetes banyu udan tau hanyekseni pas naliko nunut eyup mergo gowo ganti udan gerimis neng dal parangtritis tansah kelingan sliramu seng rodo manis esem guyu ra nyongko jebul lamis iki dadi crito lara mung iso gaw tangis gapuro kampus isi nat dadi ksi naliko sliramu ucap lathi tetes banyu udan tau hanyekseni pas naliko nunut eyup mergo gowo ganti udan gerimis neng dal parangtritis tansah kelingan sliramu seng rodo manis esem guyu ra nyongko jebul lamis iki dadi crito lara mung iso gaw tangis bangjo tembi tekan pasar angkruk lewati gabus mandg patal tiwas tlateni awan bengi anti remuk kow lungo ra pamit iki mung nggali nang iki dadi crito lara udan tangis neng dal parangtritis
Asha – Teteg Ati (feat. Tiara Linggar),pungkas srengeng sor atiku iseh roso spek mpet mikerk sliramu tresnani pungkas rembul wengi atiku iseh milih berjuang bertah korb ati perasa sliramu koco dadi ksi pedih atiku kow gaw ati jogo dadi gelo bola bali kow lah aku salahk mas perlu ngerteni tetegk atiku wis koyo ibu tau ersulo adepi polahmu gaw atiku atiku tatu pungkas srengeng sor atiku iseh roso spek mpet mikerk sliramu tresnani koco dadi ksi pedih atiku kow gaw ati jogo dadi gelo bola bali kow lah aku salahk wis rapopo aku salah tapi elgo cen aku lilo dadi payung naliko udan teko mas perlu ngerteni tetegk atiku wis koyo ibu tau ersulo adepi polahmu gaw atiku atiku tatu naj kow mung nyepelekk ati tetep kuatk spah ati tiyoku mung kow lawas bebareng kow lawas bakal liyakk lawas tetep teteg atine
Vita Alvia – Akhire Pisahan,titip mbang nggo wong tresnani jogo ojo anti ilang masio ra sandg ati tetep yang mburimu aku berjuang kabeh rao art milih nggal tres tulus jogo mbang layu koyo janjimu neng aku tresnoku ilang kabur koyo layang yang akhir pisah cobo lalekk nang gaw aku loro ikhlas lungo aku popo titip mbang nggo wong tresnani jogo ojo anti ilang masio ra sandg ati tetep yang mburimu aku berjuang kabeh rao art milih nggal tres tulus jogo mbang layu koyo janjimu neng aku tresnoku ilang kabur koyo layang yang akhir pisah cobo lalekk nang gaw aku loro ikhlas lungo hoo ooo tresnoku ilang kabur koyo layang yang akhir pisah cobo lalekk nang gaw aku loro ikhlas lungo aku popo aaa aku lilo dadio wong liyo uripku
Sasya Arkhisna – Blenjani,nelongso rasan wong tresnani mblenjani janj ra bakal nggalk loro ati mbok apusi tresnoku gedh iki mbok pelekk ra kuat ati mendem roso pasrahk marang gusti iso erteni kadang aku kudu eculk kow erti rasan lang mempertahank piy rasan janjimu ra arep mbaleni jebul kow mblenjani cukup men wae loro ati rasakk mugo kow tep kelingan tau gaw lar suket teles kudan cen bener awak dew kudu pisah loro ati mbok apusi tresnoku gedh iki mbok pelekk ra kuat ati mendem roso pasrahk marang gusti iso erteni kadang aku kudu eculk kow erti rasan lang mempertahank piy rasan janjimu ra arep mbaleni jebul kow mblenjani cukup men wae loro ati rasakk mugo kow tep kelingan tau gaw lar suket teles kudan cen bener awak dew kudu pisah janjimu ra arep mbaleni jebul kow mblenjani cukup men wae loro ati rasakk mugo kow tep kelingan tau gaw lar suket teles kudan cen bener awak dew kudu pisah cen bener awak dew kudu pisah
Charly Van Houten – Lintang Ati,ltang ono wengi gaw kangen ati ati tansah nandang kasmar endah esemmu gaw bungah atiku mung sliramu pepujang atiku awang katon netramu ben wengiku roso silir ang dalu sliramu duh ngmas seng dadi memanik kalbu mung sliramu ono atiku aku tres sliramu ang titepn roso kangen marang sliramu nady baten pgin temu amung biso nyawang fotomu abot mendem kangen kangen njero dodoku ged roso tres amung simpen njero ati ltang ono wengi gaw kangen ati ati tansah nandang kasmar endah esemmu gaw bungah atiku mung sliramu pepujang atiku awang katon netramu ben wengiku roso silir ang dalu sliramu duh ngmas seng dadi memanik kalbu mung sliramu ono atiku aku tres sliramu ang titepn roso kangen marang sliramu nady baten pgin temu amung biso nyawang fotomu abot mendem kangen kangen njero dodoku ged roso tres amung simpen njero ati ang titepn roso kangen marang sliramu nady baten pgin temu amung biso nyawang fotomu abot mendem kangen kangen njero dodoku ged roso tres amung simpen njero ati
Tasya Rosmala – Tatu,nady kow ilang ra biso wang neng ati tansah kelingan manis janji janjimu larani ati nady aku lara seh kuat nyangga tatu ono dodo perih rasan elg kow angel tamban aku lah crito anan wong neng ndhgmu melu krungu piy tenan aku lah aku kondo anan ceritan tres naliko biyen aku kow nady aku lara seh kuat nyangga tatu ono dodo perih rasan elg kow angel tamban aku lah crito anan wong neng ndhgmu melu krungu piy tenan aku lah aku kondo anan ceritan tres naliko biyen aku kow wong neng ndhgmu melu krungu rasakk
Syahiba Saufa – Pengen Nangis Tapi Isin,ged tresnoku tulus sliramu tegon mbok sio sio mpek atiku loro pepes awakku ambruk cagak atiku pengen nangis tapi isin mung iso empet njero bat rasakk jebul seje rapodo manis ucap kow neng ati lar tresnoku tibak’ mbok gaw dolan bangeten gonmu nyikso atiku kadung yang kow malah ilang ged tresnoku tulus sliramu tegon mbok sio sio mpek atiku loro pepes awakku ambruk cagak atiku pgin nangis tapi isin mung iso empet njero bat rasakk jebul seje rapodo manis ucap kow neng ati lar tresnoku tibak’ mbok gaw dolan bangeten gonmu nyikso atiku kadung yang kow malah ilang ged tresnoku tulus sliramu tegon mbok sio sio mpek atiku loro pepes awakku ambruk cagak atiku pgin nangis tapi isin mung iso empet njero bat ged tresnoku tulus sliramu tegon mbok sio sio mpek atiku loro pepes awakku ambruk cagak atiku pgin nangis tapi isin mung iso empet njero bat
Antok Ilham Wijaya – Mergo Asmoro,ojo nelongso mergo tres ojo loro mergo asmoro tresnomu kadung bangeten tggal lungo terus mbat sten mulo ojo dolan ati rao tersakiti mlaku mlaku ati ati ra jeron gonmu patah hati tres iso gaw bahagio ugo iso gaw kuciwo lah dal karu karu madep mantepk atimu gusti bakal milihk jodohmu yak mesti sae temb mbur mulo tres wajar neng lrah wae mengko pas tggalk nemen nemen banget laran mulo ojo dolan ati rao tersakiti mlaku mlaku ati ati ra jeron gonmu patah hati tres iso gaw bahagio ugo iso gaw kuciwo lah dal karu karu madep mantepk atimu gusti bakal milihk jodohmu yak mesti sae temb mbur tres iso gaw bahagio ugo iso gaw kuciwo lah dal karu karu madep mantepk atimu gusti bakal milihk jodohmu yak mesti sae temb mbur
Wello – Langganan Kleru,lah uripku omong tgkah laku atiati anti kaku atiku dadi langgan kleru trawang endg nyandg kow bakal ngene mbiyen nengndi lehmu kolah dadi uripmu iso lah prengat prengut ulatmu peteng raiso guyu tres bacut jeru sirep iso mlayu atiku trimo egomu tulung sudo aku alah rasah gaw masalah tompo anan koyo ngene kahanan aku ikhlas ten kow mbiyen neng endi lehmu kolah dadi uripmu iso lah prengat prengut ulatmu peteng raiso guyu tres bacut jeru sirep iso mlayu atiku trimo egomu tulung sudo aku alah rasah gaw masalah tompo anan koyo ngene kahanan aku ikhlas ten kow caraku leh nresnani kurang piy bagimu aku ono bener golek menang dew aku tibo lah wae mung dadi langgan kleru kleru atiku trimo egomu tulung sudo aku alah rasah gaw masalah tompo anan koyo ngene kahanan aku ikhlas ten kow aku ikhlas ten kow ikhlas aku dadi langgan kleru
Via Vallen – Konco Mesra,wang sorot mripatmu jan ku erti ono ati sliramu anan mung wates konco podo ra wan ungkapk tres ku pandang gemerlap nyang mripatmu terpampang gambar waru atimu anti kap abot mok dukung mung dadi konco mesra mergo pendem cta sungguh yang aku bisa langsung mengungkapk perasa yang ku simp buat ku tenang ini mua karena hubung perteman kau sudah biasa anggap ku bagai kaw adem panas awakku garagara kamu nyibakk atiku gati menyang aku mpek gowo turu impi usap pipimu tansah nyoto roso konco dadi tres gereges awak ku naliko mepet sliramu mung wang esemmu sebyar nong atiku bgung rasan atiku piy nyikapi biyen konco suwi tresnani wang sorot mripatmu jan ku erti ono ati sliramu anan mung wates konco podo ra wan ungkapk tres ku pandang gemerlap nyang mripatmu terpampang gambar waru atimu anti kap abot mok dukung mung dadi konco mesra mergo pendem cta sungguh yang aku bisa langsung mengungkapk perasa yang ku simp buat ku tenang ini mua karena hubung perteman kau sudah biasa anggap ku bagai kaw adem panas awakku garagara kamu nyibakk atiku gati menyang aku mpek gowo turu impi usap pipimu tansah nyoto roso konco dadi tres gereges awak ku naliko mepet sliramu mung wang esemmu sebyar nong atiku bgung rasan atiku piy nyikapi biyen konco suwi tresnani wang sorot mripatmu jan ku erti ono ati sliramu anan mung wates konco podo ra wan ungkapk tres ku pandang gemerlap nyang mripatmu terpampang gambar waru atimu anti kap abot mok dukung mung dadi konco mesra mergo pendem cta wang sorot mripatmu jan ku erti ono ati sliramu anan mung wates konco podo ra wan ungkapk tres ku pandang gemerlap nyang mripatmu terpampang gambar waru atimu anti kap abot mok dukung mung dadi konco mesra mergo pendem cta
Suci Tacik – Tau Tatu,tatu hang bengen tau manggon nong ati nisun peren perih mageh roso hang gaw sun kuatir bakal balen maneng isun wedi di larani paribasan riko laks nyandg isun dadiyo ulan hang biso madangi isun siji hang sun jaluk nyang riko janji arep eliyo mergo ati tau loro kadung mbesok atisun riko duweni sun jaluk ojo riko larani kadung mbesok atisun percoyo nyang riko sun jaluk ojo siosio mergan durung isun tau tatu tau tatu paribasan riko laks nyandg isun dadiyo ulan hang biso madangi isun siji hang sun jaluk nyang riko janji arep eliyo mergo ati tau loro kadung mbesok atisun riko duweni sun jaluk ojo riko larani kadung mbesok atisun percoyo nyang riko sun jaluk ojo siosio mergan durung isun tau tatu tau tatu tau tatu kadung mbesok atisun riko duweni sun jaluk ojo riko larani kadung mbesok atisun percoyo nyang riko sun jaluk ojo siosio mergan durung isun tau tatu tau tatu tau tatu
